"Event Unique ID","Title","Event Status","Organization","Organization Type","Organization Shipping Address - Street Address","Address line 2","Organization Shipping Address - City","Organization Shipping Address - State","Organization Shipping Address - Zip","Organization Facebook Address","Organization Instagram Address","Organization Twitter @Username","Organization Website","URL","Event Type","Content Area","Target Audience","Special Audiences","Event Date(s)","Event Venue or Facility Name","Street Address","Address line 2","City","State","Zip code","NC County","Coordinates","Cost for Festival Participants","Single Event Price","Event Description","Event Website","In-person/Online"
3355,"STEAM for Tweens: Squishy Circuits","Accepted","Paddison Memorial Branch Library","Library","248 Harmon Lane",,"Kernersville","North Carolina",27284,,,,"forsythlibrary.org","http://www.ncsciencefestival.org/events/steam-tweens-squishy-circuits","Hands-On, Indoor Event","Art & Design, Engineering, Technology","Children",,"04/01/2025 - 4:00pm to 5:00pm","Paddison Memorial Branch Library","248 Harmon Lane",,"Kernersville","North Carolina",27284,"Forsyth","POINT (-80.0694086 36.1153701)","FREE",,"<p>Join us monthly for STEAM programs for ages 8-11. This month we'll be creating play dough robots with our Squishy Circuits.</p>
<p><a href=""https://forsythcounty.librarycalendar.com/event/steam-tweens-7559"">Register here!</a></p>
<p>Call 336-703-2930 for details.</p>
",,"In-person"
3356,"STEAM for Teens: Squishy Circuits","Accepted","Paddison Memorial Branch Library","Library","248 Harmon Lane",,"Kernersville","North Carolina",27284,,,,"forsythlibrary.org","http://www.ncsciencefestival.org/events/steam-teens-squishy-circuits","Hands-On, Indoor Event","Art & Design, Engineering, Technology","Teens",,"04/14/2025 - 4:00pm to 5:00pm","Paddison Memorial Branch Library","248 Harmon Lane",,"Kernersville","North Carolina",27284,"Forsyth","POINT (-80.0694086 36.1153701)","FREE",,"<p>Join us monthly for STEAM programs for ages 12-18. This month we'll be creating play dough robots with our Squishy Circuits.</p>
<p><a href=""https://forsythcounty.librarycalendar.com/event/steam-teens-7568"">Register here!</a></p>
<p>Call 336-703-2930 for details.</p>
",,"In-person"
3357,"Crayons on Campus","Accepted","James Sprunt Community College","Community College","133 James Sprunt Drive","PO Box 398","Kenansville","North Carolina",28349,,,,"www.jamessprunt.edu","http://www.ncsciencefestival.org/events/crayons-campus","Hands-On, Indoor Event, Outdoor Event, Tour","Health, Business & Careers, Chemistry, Life Sciences, Environment, Technology","Children","First Grade Students from Duplin County Schools","04/14/2025 - 8:30am to 10:30am 04/16/2025 - 8:30am to 10:30am","James Sprunt Community College","133 James Sprunt Drive",,"Kenansville","North Carolina",28349,"Duplin","POINT (-77.9763332 34.9466248)","FREE","Free","<p><em>This event is for first graders from Duplin County School System.Â </em></p>
<p>First grade students from our local school system visit James Sprunt for a tour of campus and to participate in fun, interactive learning activities. Seeing the various departments and having the opportunity to perform STEM activities makes for a great day!Â </p>
","https://jamessprunt.edu/crayons-on-campus/","In-person"
3358,"UNC Science Expo","Accepted","Morehead Planetarium & Science Center","UNC System","250 East Franklin Street",,"Chapel Hill","North Carolina","27599-3480",,,,,"http://www.ncsciencefestival.org/events/unc-science-expo-6","Hands-On, Outdoor Event, Performance/Talk, Expo","Art & Design, Health, Chemistry, Life Sciences, Earth & Space Sciences, Mathematics, Physics, Engineering, Science & Society, Environment, Food, Sports & Fitness, Technology","Children, Teens, Families, Adults",,"04/05/2025 - 11:00am to 4:00pm","Morehead Planetarium and Science Center","250 East Franklin Street",,"Chapel Hill","North Carolina",27599,"Orange","POINT (-79.0505091 35.9139224)","FREE",,"<p><strong><em>Join us for one of the biggest science celebrations in the state!</em></strong></p>
<p>Every year, Morehead Planetarium and Science Center hosts a day of science learning and fun for our community in partnership with UNC-Chapel Hill faculty, students, and staff.</p>
<p>The UNC Science Expo is a signature event of the annualÂ <a href=""https://ncsciencefestival.org/"" title="""">North Carolina Science Festival</a>Â and one of the biggest celebrations of science in the state. More than 100 booths staffed by UNC-Chapel Hill students, researchers, practitioners, and community volunteers fill the quads surrounding Morehead Planetarium and Science Center. From hands-on activities and games to science demonstrations and behind-the-scenes lab tours, the UNC Science Expo makes learning about science fun and engaging for people of all ages.</p>
","https://go.unc.edu/ScienceExpo","In-person"
3362,"STEAM on the Wing and on the Water","Accepted","Carolina Raptor Center","Non-profit","6000 Sample Road",,"Huntersville","North Carolina",28078,"https://www.facebook.com/CarolinaRaptorCenter","https://www.instagram.com/carolinaraptor/","@CarolinaRaptor","http://www.carolinaraptorcenter.org/","http://www.ncsciencefestival.org/events/steam-wing-and-water","Hands-On, Outdoor Event","Life Sciences, Environment","Families",,"04/05/2025 - 10:00am to 3:00pm","Carolina Raptor Center","6000 Sample Rd",,"Huntersville","North Carolina",28078,"Mecklenburg","POINT (-80.9183292 35.350341)","FREE",,"<p>Embark on an exciting exploration of science, technology, engineering, arts, and mathematics at STEAM: On the Wing and On the Water, a captivating event hosted by Mecklenburg County Parks and Recreation's Quest Nature Center and the Carolina Raptor Center at the picturesque Latta Nature Preserve. This family-friendly extravaganza, offered completely free of charge, invites participants to dive into the wonders of nature through a seamless blend of education and entertainment.Â </p>
<p>At Quest, families can immerse themselves in STEAM concepts themed around water, brought to life by engaging activities presented by various community partners. Delight in the enchanting world of live animals, a 6000-gallon fish tank, and interactive displays, including a mesmerizing water table that promises endless fascination for young and curious minds.Â </p>
<p>Meanwhile, over at the Carolina Raptor Center, enjoy complimentary admission to the Raptor Trail, where more than 30 avian ambassadors from around the globe await. As you stroll through this avian wonderland, connect with community partners stationed along the trail, sharing insights into how their work intersects with the intricate tapestry of ecology.Â </p>
","https://carolinaraptorcenter.org/","In-person"
3363,"Maker Faire Asheville","Accepted","Asheville Makers","Non-profit","207 Coxe Ave","Studio 14","Asheville","North Carolina",28801,"https://www.facebook.com/groups/ashevillemakerspace/",,"saltemeier","www.ashevillemakers.org","http://www.ncsciencefestival.org/events/maker-faire-asheville-1","Hands-On, Indoor Event, Outdoor Event, Expo","Art & Design, Mathematics, Physics, Engineering, Science & Society, Technology","Children, Teens, Families, Adults",,"04/05/2025 - 10:00am to 3:00pm","Mission Health/A-B Tech Conference Center","16 Fernihurst Dr.",,"Asheville","North Carolina",28801,"Buncombe","POINT (-82.5561139 35.57163)","FREE",,"<p>Maker Faire is the Greatest Show (and Tell) on Earthâ€”a family-friendly festival of invention, creativity and resourcefulness, and a celebration of the Maker movement!</p>
<p>Part science fair, part county fair, and part something entirely new, Maker Faire is an all-ages gathering of tech enthusiasts, crafters, educators, tinkerers, hobbyists, engineers, science clubs, authors, artists, students, and commercial exhibitors. All of these â€œmakersâ€ come to Maker Faire to show what they have made and to share what they have learned. With an emphasis on interactive, hands-on exhibits, people of all ages will leave inspired to make something of their own!</p>
<p>Register online <a href=""https://asheville.makerfaire.com/"">here</a>.</p>
","https://asheville.makerfaire.com/","In-person"
3364,"Gaston College sciVisit","Accepted","Gaston College","Community College","201 US-321","RCH 120","Dallas","North Carolina",28034,,,,"www.gaston.edu","http://www.ncsciencefestival.org/events/gaston-college-scivisit-0","Hands-On, Indoor Event, Outdoor Event","Health, Chemistry, Life Sciences, Mathematics, Physics, Engineering, Science & Society, Environment, Sports & Fitness, Technology","Teens","This event is for high school students in Gaston and Lincoln Counties","04/11/2025 - 8:30am to 12:30pm","Gaston College Dallas Campus","201 US-321",,"Dallas","North Carolina",28034,"Gaston","POINT (-81.1887876 35.310218)","FREE",,"<p><em>This event is for high school students from Gaston and Lincoln Schools.</em></p>
<p>Gaston College sciVisit is a free, annual, outreach event to promote STEM educationÂ to high school students in Gaston and Lincoln counties. Students will have the opportunity to participate in experiential learning activities and demonstrations hosted by expert college faculty and industry partners.</p>
",,"In-person"
3365,"Annual Earth Day Celebration 2025","Accepted","Sturgeon City Environmental Education Center ","Non-profit","50 Court Street","Building 100","Jacksonville","North Carolina",28540,"https://www.facebook.com/sturgeoncityeducation/","https://www.instagram.com/sturgeoncity/","SturgeonCity","www.sturgeoncity.org","http://www.ncsciencefestival.org/events/annual-earth-day-celebration-2025","Hands-On, Indoor Event, Outdoor Event","Life Sciences, Earth & Space Sciences, Engineering, Environment","Pre-K, Children, Teens, Families, Adults",,"04/26/2025 - 10:00am to 2:00pm","Sturgeon City Environmental Education Center ","50 Court Street",,"Jacksonville","North Carolina",28540,"Onslow","POINT (-77.4320812 34.7426404)","FREE",,"<p>Celebrate Earth Day at Sturgeon City! Come enjoy a FREE public event filled with fun, educational activities for the whole family!</p>
<p>Weâ€™ll have science stationsÂ where you can create an Earth Day handprint, peer through microscopes, tackle Lego challenges, and so much more! We will also have food trucks to satisfy your cravings, face painting for a touch of whimsy, and games to keep everyone entertained.Â </p>
<p>Letâ€™s celebrate our planet together!</p>
","https://sturgeoncity.org/earth-day-celebration/","In-person"
3368,"Willow Pond @ Core Sound EARTH DAY 2025","Accepted","Core Sound Waterfowl Museum & Heritage Center","Non-profit","PO Box 556",,"Harkers Island","North Carolina",28531,"Core Sound Waterfowl Museum & Heritage Center",,,"www.coresound.com","http://www.ncsciencefestival.org/events/willow-pond-core-sound-earth-day-2025","Hands-On, Outdoor Event","Life Sciences, Earth & Space Sciences, Mathematics, Engineering, Science & Society, Environment","Children","Elementary classes","04/08/2025 - 8:00am to 2:00pm 04/09/2025 - 8:00am to 1:00pm","Core Sound Waterfowl Museum & Heritage Center","1785 Island Road",,"Harkers Island","North Carolina",25831,"Carteret","POINT (-76.5286438 34.687459)","FREE",,"<p>Willow Pond @ Core Sound Earth Day 2025 teaches our young ones the importance of conservation, preservation, and stewardship of our natural resources. It is an educational expo with severalÂ mini environmental and marine science field trips forÂ local elementary school classes. Students travel from station to station learning the importance of a healthy environment. Experts share knowledge and allows students to explore, experiment, and engage in a wide variety of topics from the sea to the atmosphere, with a major focus on wetland and marine health.</p>
<p><strong>Classes must <a href=""https://www.coresound.com/events/earthday2025"">register</a> and receive a confirmation to attend.</strong></p>
","https://www.coresound.com/events/earthday2025","In-person"
3369,"Reach for the Stars! Be a Star! STEM and Resource Fair for K-12 Students with Disabilities, Family and Friends","Accepted","Catalyst","Government Agency (state or local)","Cherry Building, NC State University","715 Barbour Dr","Raleigh","North Carolina",27603,"https://www.facebook.com/CatalystNCSU",,"jblumenfeld","https://sciencehouse.ncsu.edu/studentprograms/catalyst/","http://www.ncsciencefestival.org/events/reach-stars-be-star-stem-and-resource-fair-k-12-students-disabilities-family-and-friends","Hands-On, Indoor Event","Art & Design, Health, Chemistry, Life Sciences, Earth & Space Sciences, Mathematics, Physics, Engineering, Science & Society, Environment, Food, Sports & Fitness, Technology","Pre-K, Children, Teens, Families, Adults, Special Audience","Students with Disabilities in K-12, Families and Friends","04/12/2025 - 9:00am to 12:00pm","Mckimmon Center, North Carolina State University","1101 Gorman Street",,"Raleigh","North Carolina",27605,"Wake","POINT (-78.6848161 35.7822692)","FREE",,"<p>Calling all STEM Stars! This event is for K-12 Students with Disabilities and their families and friends who are interested in learning more STEM: Content,Â Educational and Career Pathways with over 70+ tables with hands on activities, led by STEMÂ Professionals, Professors and College Students.</p>
<p>Learn about the latest STEM research and innovation too! In addition, there will be speakers in a separate room every 30 minutes by STEM: Professionals and College StudentsÂ with Disabilities, on topics such as: pathways to success in college, self-advocacy, supports in the workforce, assistive technologies and much more. The event will also have resources that support students with disabilities on their pathway to success!</p>
<p>Come see how you can become a STEM Star too and help build a diverse, inclusive, and innovative STEM Workforce!</p>
<p><strong>No registration is required! Please come and enjoy the fun and learning.</strong></p>
","https://sciencehouse.ncsu.edu/studentprograms/catalyst/","In-person"
